generador;hora;vertimiento_mw
SOLAR-NORTE-01;250;1177.516129032258
SOLAR-NORTE-01;251;1298.2903225806451
SOLAR-NORTE-01;252;1384.0
SOLAR-NORTE-01;253;1437.1290322580646
SOLAR-NORTE-01;254;1435.774193548387
SOLAR-NORTE-01;255;1411.1612903225807
SOLAR-NORTE-01;256;1430.3870967741937
SOLAR-NORTE-01;257;1409.0967741935483
SOLAR-NORTE-01;258;1372.3225806451612
SOLAR-NORTE-01;259;1216.0
SOLAR-NORTE-01;260;673.9354838709678
SOLAR-NORTE-01;272;117.16129032258064
SOLAR-NORTE-01;273;778.1935483870968
SOLAR-NORTE-01;274;1177.516129032258
SOLAR-NORTE-01;275;1298.2903225806451
SOLAR-NORTE-01;276;1384.0
SOLAR-NORTE-01;277;1437.1290322580646
SOLAR-NORTE-01;278;1435.774193548387
SOLAR-NORTE-01;279;1411.1612903225807
SOLAR-NORTE-01;280;1430.3870967741937
SOLAR-NORTE-01;281;1409.0967741935483
SOLAR-NORTE-01;282;1372.3225806451612
SOLAR-NORTE-01;283;1216.0
SOLAR-NORTE-01;284;673.9354838709678
SOLAR-NORTE-01;285;13.612903225806456
SOLAR-NORTE-01;296;117.16129032258064
SOLAR-NORTE-01;297;778.1935483870968
SOLAR-NORTE-01;298;1177.516129032258
SOLAR-NORTE-01;299;1298.2903225806451
SOLAR-NORTE-01;300;1384.0
SOLAR-NORTE-01;301;1437.1290322580646
SOLAR-NORTE-01;302;1435.774193548387
SOLAR-NORTE-01;303;1411.1612903225807
SOLAR-NORTE-01;304;1430.3870967741937
SOLAR-NORTE-01;305;1409.0967741935483
SOLAR-NORTE-01;306;1372.3225806451612
SOLAR-NORTE-01;307;1216.0
SOLAR-NORTE-01;308;673.9354838709678
SOLAR-NORTE-01;309;13.612903225806456
SOLAR-NORTE-01;320;117.16129032258064
SOLAR-NORTE-01;321;778.1935483870968
SOLAR-NORTE-01;322;1177.516129032258
SOLAR-NORTE-01;323;1298.2903225806451
SOLAR-NORTE-01;324;1384.0
SOLAR-NORTE-01;325;1437.1290322580646
SOLAR-NORTE-01;326;1435.774193548387
SOLAR-NORTE-01;327;1411.1612903225807
SOLAR-NORTE-01;328;1430.3870967741937
SOLAR-NORTE-01;329;1409.0967741935483
SOLAR-NORTE-01;330;1372.3225806451612
SOLAR-NORTE-01;331;1216.0
SOLAR-NORTE-01;332;673.9354838709678
SOLAR-NORTE-01;333;13.612903225806456
SOLAR-NORTE-01;344;117.16129032258064
SOLAR-NORTE-01;345;778.1935483870968
SOLAR-NORTE-01;346;1177.516129032258
SOLAR-NORTE-01;347;1298.2903225806451
SOLAR-NORTE-01;348;1384.0
SOLAR-NORTE-01;349;1437.1290322580646
SOLAR-NORTE-01;350;1435.774193548387
SOLAR-NORTE-01;351;1411.1612903225807
SOLAR-NORTE-01;352;1430.3870967741937
SOLAR-NORTE-01;353;1409.0967741935483
SOLAR-NORTE-01;354;1372.3225806451612
SOLAR-NORTE-01;355;1216.0
SOLAR-NORTE-01;356;673.9354838709678
SOLAR-NORTE-01;357;13.612903225806456
SOLAR-NORTE-01;368;117.16129032258064
